,Unnamed: 0,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
1186,1186,A gentle introduction to deep neural networks,41,7,1,12.2019,1,1,1,105.9,1,4,16,2.8166666666666664,Evergreen Technologies,15041.0,55,3.5,0,0.0,0.0,0.0,0,0,0,3.5
1187,1187,SGLearn@Python for Data Science & Machine Learning Bootcamp,21,7,1,6.2017,1,1,0,699.9,0,28,144,21.866666666666667,DioPACT SG,61.0,5,4.4,0,0.0,0.0,0.0,0,0,0,4.3
1188,1188,Statistics for Data Analytics,87,6,1,7.2021,1,1,0,139.9,1,5,26,6.35,Dr.Himanshu Saxena,2278.0,24,4.1,0,0.0,0.0,0.0,0,0,0,4.4
1189,1189,The Complete Data Visualization Toolkit Bundle,69,6,1,10.2022,1,1,1,699.9,1,30,185,29.616666666666667,Simon Sez IT,658262.0,216,4.5,0,0.0,0.0,0.0,1,0,0,4.6
1190,1190,Applied Physics: A Crash Course in Physics From (A-Z),136,6,1,8.2022,1,1,1,349.9,1,7,15,5.766666666666667,Tech 786,86006.0,23,3.9,0,0.0,0.0,0.0,0,0,0,4.3
1191,1191,Data Science Kurs mit Excel,161,16,1,7.2019,9,1,1,349.9,1,9,46,3.55,Michael Meraner,490.0,3,4.0,0,0.0,0.0,0.0,0,0,0,3.9
1192,1192,Машинное обучение: регрессия и предсказание данных на Python,154,16,1,6.2021,8,1,0,349.9,1,8,37,7.283333333333333,Центр digital-профессий ITtensive,2264.0,22,4.0,0,0.0,0.0,0.0,1,0,0,4.0
1193,1193,Mathematics for Machine Learning & Data Science | Arabic,2838,16,1,8.2022,12,1,0,69.9,1,3,8,5.85,Mohammed Agoor,9520.0,4,4.5,0,0.0,0.0,0.0,0,0,0,4.7
1194,1194,Python pour la Data Science et le Machine Learning: A à Z,3238,18,1,1.2023,5,1,1,209.9,1,15,153,4.316666666666666,Meta Brains,339861.0,32,4.2,0,0.0,0.0,0.0,0,0,0,4.4
1195,1195,Visualização da Dados Python e R: Data Science na Prática,270,16,2,3.202,2,1,1,329.9,1,3,36,5.9,MSc Grimaldo Lopes | + 45.000 alunos de Oliveira,46770.0,165,4.4,1,701751.0,36.0,4.6,0,0,0,4.2
1196,1196,Машинное обучение на Python. Метод линейной регрессии,86,16,2,10.2018,8,1,0,123.9,1,1,8,1.5666666666666667,"Группа преподавателей Центра ""Специалист"" при МГТУ им. Баумана",766.0,9,4.2,1,201.0,3.0,4.1,0,0,0,3.9
1197,1197,【한글자막】 스파크 스트리밍과 Scala 로 빅 데이터 스트리밍하기 (실전편),105,16,4,1.2022,4,1,1,329.9,1,9,37,6.416666666666667,Sundog Education by Frank Kane,677324.0,33,4.6,1,626424.0,26.0,4.6,0,0,0,5.0
1198,1198,الذكاء الاصطناعي,49,16,1,6.2021,12,1,0,105.9,1,8,24,6.083333333333333,BRADFORD-JO Academy,481.0,42,4.7,0,0.0,0.0,0.0,0,0,0,4.4
1199,1199,Prática Guiada - Titanic no Kaggle,97,16,1,10.202,2,1,1,199.9,1,5,10,1.3166666666666667,TecMorpheus Hypnos,750.0,3,4.6,0,0.0,0.0,0.0,0,0,0,4.6
1200,1200,Prédiction des séries temporelles en deep learning - Partie1,152,15,1,8.2021,5,1,1,429.9,1,6,58,7.283333333333333,Alexandre Bourrieau,565.0,10,4.6,0,0.0,0.0,0.0,0,0,0,4.7
1201,1201,Welcome2KI Teil 3: KI Deep Learning Projekte selbst umsetzen,131,15,1,5.2021,9,1,1,179.9,1,10,69,7.816666666666666,Bernhard Mayr,477.0,10,4.0,0,0.0,0.0,0.0,1,1,0,4.7
1202,1202,Python: Visualización de Datos con Matplotlib (Básico),1727,15,1,6.2022,3,1,1,69.9,1,1,10,0.8166666666666667,Camilo Medina,9920.0,8,4.4,0,0.0,0.0,0.0,0,0,0,3.9
1203,1203,習うより慣れよう Visual AI さわって覚える人工知能「ディープラーニング編」,162,15,1,8.2022,6,1,1,69.9,1,6,47,2.55,内山 充康,3033.0,9,3.9,0,0.0,0.0,0.0,0,0,0,3.9
1204,1204,Kaggle - Veri Bilimi Alanında Daha İyi Bir Profil Oluşturun,71,15,1,1.2023,10,1,0,699.9,1,8,19,2.9166666666666665,Oak Academy,275374.0,256,4.5,0,0.0,0.0,0.0,1,0,0,5.0
1205,1205,Dashboard Analítico Passo-a-Passo em STREAMLIT e PYTHON,60,18,1,10.2022,2,1,1,69.9,1,8,41,4.25,Luiz Fabiano de Souza,1316.0,7,4.6,0,0.0,0.0,0.0,0,0,0,4.7
1206,1206,Introducción a los Algoritmos Heurísticos,163,14,1,4.2019,3,1,0,209.9,1,9,32,1.3,Carlos Antonio Macías Duarte,3631.0,2,4.4,0,0.0,0.0,0.0,0,0,0,4.4
1207,1207,"Python w Data Science - NumPy, Pandas & Scikit-Learn",342,14,1,8.2022,16,1,0,69.9,1,42,362,1.5666666666666667,Paweł Krakowiak,247964.0,86,4.5,0,0.0,0.0,0.0,0,1,0,5.0
1208,1208,Python-深度学习-物体检测实战,124,14,1,1.202,7,2,0,179.9,1,6,41,6.4,唐宇迪 唐,4022.0,24,4.4,0,0.0,0.0,0.0,0,0,0,3.9
1209,1209,强化学习实战系列(PyTorch版),149,14,1,9.202,7,2,0,179.9,1,11,89,10.466666666666667,唐宇迪 唐,4022.0,24,4.4,0,0.0,0.0,0.0,0,0,0,4.4
1210,1210,Data Mining without coding ~ Visual Programing ~ Orange3,76,14,1,12.2022,17,2,0,89.9,1,5,14,4.966666666666667,Squall Wu,76.0,1,4.6,0,0.0,0.0,0.0,0,0,0,4.6
1211,1211,Google Data Studio. Анализ данных. Data Visualization.,65,14,1,11.2022,8,1,0,349.9,1,5,27,0.8833333333333333,Andrew Borysenko,25816.0,41,3.3,0,0.0,0.0,0.0,0,0,0,3.3
1212,1212,Gerando Arquivos PDF com Python e ReportLab 2023,433,14,1,8.2021,2,1,1,69.9,1,1,6,1.85,Hugo Ferro,1371.0,10,4.7,0,0.0,0.0,0.0,0,0,0,4.9
1213,1213,Fundamentos de MLOps (Machine Learning Operations) Hands On,32,13,1,11.2022,3,1,1,69.9,1,10,31,2.5166666666666666,Data Bootcamp,9867.0,28,4.2,0,0.0,0.0,0.0,0,0,0,3.6
1214,1214,六小時學會資料科學,84,13,1,8.2021,17,2,0,209.9,1,7,26,6.733333333333333,Cheng-Yuan Ho,283.0,6,4.2,0,0.0,0.0,0.0,0,0,0,3.9
1215,1215,【한글자막】 현대 인공지능 (AI) 마스터 클래스 : 6개의 프로젝트 구축하기,288,13,5,12.2021,4,1,1,349.9,1,8,90,15.783333333333333,"Dr. Ryan Ahmed, Ph.D., MBA",319896.0,46,4.5,1,2287209.0,148.0,4.6,0,0,0,5.0
1216,1216,Pack Complet data Analyse avec Excel & Python 2023,108,14,2,1.2023,5,1,1,249.9,1,6,139,11.3,Ing.Seif | Europe Innovation,13836.0,19,4.4,1,27761.0,44.0,4.4,1,0,0,4.0
1217,1217,Visualização de dados com Python,96,14,1,3.2022,2,1,1,69.9,0,7,126,10.266666666666667,Beta Analítica,96.0,1,5.0,0,0.0,0.0,0.0,0,0,0,5.0
