,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
175,A Crash Course In PySpark,"8,569",778,1,5.202,English,1,1,69.9,1,5,19,1h 15m,Kieran Keene,"37,499",3,4.4,,,,,0,0,0,4.5
176,Modern Artificial Intelligence Masterclass: Build 6 Projects,"29,868",755,4,6.2021,English,1,1,349.9,1,8,90,15h 46m,"Dr. Ryan Ahmed, Ph.D., MBA","319,769",46,4.5,Ligency I Team,"2,286,300",148,4.6,0,0,0,4.5
177,From 0 to 1 : Spark for Data Science with Python,"8,046",753,1,2.2018,English,1,1,349.9,1,11,54,8h 18m,Loony Corn,"154,863",67,4.2,,,,,0,0,0,4.1
178,"Intro to Big Data, Data Science and Artificial Intelligence","1,482",745,1,12.2021,English,1,1,123.9,0,11,80,3h 27m,Julia Mariasova,"2,170",8,4.7,,,,,1,0,0,4.7
179,Mathematics & Statistics of Machine Learning & Data Science,"8,539",743,1,8.2022,English,1,1,179.9,1,13,149,11h 7m,Cinnamon TechX,"13,689",2,4.4,,,,,0,0,0,4.1
180,PowerBI Zero to Hero,"33,532",734,1,11.2021,English,1,1,179.9,1,7,59,2h 28m,Abdelkarim MOHAMED MAHMOUD,"33,532",1,4.6,,,,,0,0,0,4.6
181,Docker Masterclass for Machine Learning and Data Science,"33,887",735,3,9.2022,English,1,1,349.9,1,15,83,4h 23m,Jordan Sauchuk,"259,762",7,4.4,Ligency I Team,"2,286,300",148,4.6,1,0,0,4.1
182,Master Artificial Intelligence 2022 : Build 6 AI Projects,"45,335",734,1,3.2022,English,1,1,69.9,1,29,312,21h 13m,Data Is Good Academy,"253,223",31,4.3,,,,,1,0,0,4.2
183,Artificial Intelligence I: Meta-Heuristics and Games in Java,"7,466",708,1,3.2022,English,1,1,349.9,1,23,83,9h 10m,Holczer Balazs,"257,832",34,4.5,,,,,1,0,0,4.5
184,Python for Deep Learning: Build Neural Networks in Python,"89,653",698,1,1.2022,English,1,1,179.9,1,10,58,2h 4m,Meta Brains,"339,688",32,4.2,,,,,0,0,0,4.3
185,From 0 to 1: Hive for Processing Big Data,"6,292",698,1,1.2018,English,1,1,349.9,1,19,87,15h 15m,Loony Corn,"154,863",67,4.2,,,,,0,0,0,3.6
186,"Elasticsearch Masterclass [Incl., Elasticsearch 7 update]","5,627",698,1,12.2021,English,1,1,349.9,1,6,16,6h 8m,Vinoth Parthasarathy,"35,907",2,4.8,,,,,0,0,0,4.6
187,"Modern Computer Vision™ PyTorch, Tensorflow2 Keras & OpenCV4","7,347",703,1,6.2022,English,1,1,699.9,1,57,229,27h 36m,Rajeev D. Ratan,"60,105",7,4.4,,,,,0,0,0,4.5
188,Complete Linear Algebra for Data Science & Machine Learning,"4,292",688,2,5.2021,English,1,0,349.9,1,17,212,17h 54m,Kashif A.,"81,251",13,4.5,Abdullah A.,"81,250",13,4.5,1,0,0,4.9
189,Data Analysis Masterclass (4 courses in 1),"23,594",701,1,3.2022,English,1,1,69.9,1,9,228,16h 54m,Data Is Good Academy,"253,223",31,4.3,,,,,1,0,0,4.2
190,TensorFlow 2.0 Practical,"6,188",687,4,2.2021,English,1,1,349.9,1,6,84,11h 44m,"Dr. Ryan Ahmed, Ph.D., MBA","319,769",46,4.5,Ligency I Team,"2,286,300",148,4.6,0,0,0,4.7
191,Data Science Bootcamp 2022: 5 Data Science Projects,"38,846",681,1,4.2022,English,1,1,69.9,1,17,262,15h 32m,Data Is Good Academy,"253,223",31,4.3,,,,,1,0,0,4.5
192,PySpark Essentials for Data Scientists (Big Data + Python),"4,605",675,1,5.2022,English,1,1,329.9,1,11,109,17h 16m,Layla AI,"4,605",1,4.8,,,,,1,0,0,4.8
193,2022 Machine Learning A to Z : 5 Machine Learning Projects,"39,491",673,1,4.2022,English,1,1,69.9,1,25,412,26h 15m,Data Is Good Academy,"253,223",31,4.3,,,,,1,0,0,4.3
194,Machine Learning From Basic to Advanced,"114,880",662,4,8.2021,English,1,1,105.9,1,5,15,2h 59m,Code Warriors,"312,812",9,4,Anup Mor,"148,316",2,4.1,0,0,0,4
195,Applied Time Series Analysis and Forecasting with R Projects,"4,617",659,1,7.2018,English,1,1,329.9,1,5,34,3h 21m,R-Tutorials Training,"265,469",24,4.4,,,,,0,0,0,4.6
196,Introduction to Artificial Neural Network and Deep Learning,"3,236",652,1,4.202,English,1,1,349.9,1,8,36,7h 2m,Seyedali Mirjalili,"15,587",8,4.6,,,,,0,0,0,4.7
197,Data Analysis Real world use-cases- Hands on Python,"64,392",639,1,12.2022,English,1,1,69.9,1,7,47,6h 54m,Shan Singh,"285,624",21,4.3,,,,,0,0,0,4.3
198,"Build Your own Self Driving Car | Deep Learning, OpenCV, C++","3,974",630,1,8.2022,English,1,1,69.9,0,11,47,5h 33m,Rajandeep Singh,"18,108",5,4.5,,,,,0,0,0,4.6
199,R Data Pre-Processing & Data Management - Shape your Data!,"4,665",632,1,11.2018,English,1,1,349.9,1,10,64,6h 25m,R-Tutorials Training,"265,469",24,4.4,,,,,0,0,0,4.6
200,Complete Course on A/B Testing with Interview Guide,"3,481",628,1,3.2021,English,1,1,329.9,1,5,27,2h 27m,Preeti Semwal,"3,481",1,4.2,,,,,1,0,0,4.2
201,Build Neural Networks In Seconds Using Deep Learning Studio,565,181,1,1.2019,English,1,1,319.9,1,7,43,2h 48m,Michael Kroeker,703,1,3.1,,,,,0,0,0,3.1
202,Modern Data Analysis Masterclass in Pandas and Python,"2,045",185,4,6.2021,English,1,1,349.9,1,11,176,20h 48m,"Dr. Ryan Ahmed, Ph.D., MBA","319,855",46,4.5,Ligency Team,"2,230,572",104,4.6,0,0,0,4.6
203,Advanced Data Science Techniques in SPSS,"25,235",180,1,12.202,English,1,1,279.9,1,14,87,6h 41m,Bogdan Anastasiei,"297,161",14,4.5,,,,,0,0,0,4.9
204,Complete Machine Learning & Data Science with Python | A-Z,"17,794",180,1,1.2023,English,1,1,349.9,1,16,52,9h 25m,Oak Academy,"275,303",256,4.5,,,,,1,0,0,4.7
