,course name,Number of students who purchased the course,The number of students who rated the course,The number of factors that took part in the creation of the course,Last updated date,the language of the course,The number of languages into which the course is translated,The number of languages for which the course has subtitles,price,Is the course on sale?,The number of episodes,Number of lectures in the course,Duration of each lecture,The name of the first lecturer,Number of followers of the first lecturer,The course number of the first lecturer,Average rating of all courses of the first lecturer,The name of the second lecturer,Number of followers of the second lecturer,The course number of the second lecturer,Average rating of all courses of the second lecturer,Does the course contain exercises?,Does the course contain exams?,Does the course contain a final exam?,Course rating
153,Introduction à l'intelligence artificielle,6,5,1,11.2022,French,1,0,349.90,1,5,10,1h 53m,Maxime Vandegar,"1,235",25,4.5,null,null,null,null,0,0,0,4.3
154,解剖深度学习原理,30,3,1,9.2020,Simplified Chinese,2,0,139.90,1,11,74,51h 56m,hw dong,112,3,3.5,null,null,null,null,0,0,0,3.5
155,Neuronale Netze Optimieren und Evaluieren mit Tensorflow 2,142,3,1,1.2021,German,1,1,349.90,1,10,73,9h 48m,Saif Al-Dilaimi,"9,827",5,4.0,null,null,null,null,0,0,0,5.0
156,スクラッチから始めるAI入門：畳み込みニューラルネット解説編,52,3,1,3.2019,Japanese,1,1,279.90,1,13,135,3h 57m,Toshiteru Homma,689,2,3.3,null,null,null,null,1,0,0,2.9
157,AIoT物联网MQTT+SpringBoot2+Emqx整合,10,3,1,10.2020,Simplified Chinese,2,0,69.90,1,2,22,2h 29m,首席架构师 Java,92,6,3.6,null,null,null,null,0,0,0,4.0
158,Tableau Desktop - Básico,5,3,2,8.2022,Portuguese,1,0,69.90,1,3,24,8h 4m,Alexandre Andrade,15,2,4.8,Laís Mendes Gonçalves,5,1,4.4,0,0,0,4.4
159,NLP con Python: Procesamiento de Lenguaje Natural con Python,52,3,2,11.2022,Spanish,1,1,639.90,1,10,128,12h 37m,Sebastian Tunnell,"29,255",38,4.4,Lisandro A. Cesaratto,203,2,4.2,0,0,0,3.4
160,Open Office para las organizaciones,"1,135",3,1,11.2022,Spanish,1,1,69.90,1,5,5,45m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,4.0
161,Spark y Scala en Databricks: Big Data e ingeniería de datos,37,5,1,10.2022,Spanish,1,1,89.90,1,10,84,10h 46m,José Miguel Moya,776,3,4.5,null,null,null,null,0,0,0,4.5
162,邏輯思考應用：3.程式應用與實務,27,3,3,4.2020,Traditional Chinese,2,1,69.90,1,6,47,5h 53m,致理 磨課師,"1,524",12,4.4,曹祥雲,993,3,4.2,1,0,0,4.5
163,Fundamentos de Data Science e Machine Learning,38,3,1,12.2022,Portuguese,1,1,69.90,1,19,169,20h 51m,Lucas Moda,"1,078",3,4.7,null,null,null,null,0,0,0,5.0
164,파이썬을 이용한 데이터 분석,38,3,1,7.2022,Korean,1,0,399.90,1,4,19,5h 17m,클룸 (CLOOM),852,17,4.8,null,null,null,null,0,0,0,5.0
165,Redes Neuronales con Inteligencia Artificial,639,3,1,11.2022,Spanish,1,1,69.90,1,5,5,48m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,3.5
166,Text Mining. Основи та прикладні задачі,9,3,1,8.2022,Ukrainian,1,0,179.90,1,8,46,2h 15m,Maksym Lupei PhD,104,2,4.3,null,null,null,null,0,0,0,5.0
167,[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 - 손흥민을 찾아라!,30,3,1,7.2022,Korean,1,0,279.90,1,8,36,7h 5m,Jonathan Suh,486,7,4.3,null,null,null,null,0,0,0,4.1
168,Big Data con MongoDB,"1,546",5,1,10.2022,Spanish,1,1,69.90,1,5,5,37m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,3.2
169,Azure Data Factory desde cero,8,3,1,4.2022,Spanish,1,1,69.90,1,1,12,54m total,Datapath .,"48,331",16,4.0,null,null,null,null,0,0,0,3.7
170,Iniciando na Visualização de Dados com Python,5,3,1,10.2022,Portuguese,1,1,69.90,1,3,18,7h 15m,Jefferson Silva Almeida,358,9,4.2,null,null,null,null,0,0,0,4.6
171,Машинное обучение с подкреплением на Python,26,3,1,12.2022,Russian,1,0,639.90,1,12,42,5h 40m,Центр digital-профессий ITtensive,"2,264",22,4.0,null,null,null,null,1,0,0,4.6
172,KNIME NODE'S (Temel Kullanıcı Eğitimi),24,2,1,7.2022,Turkish,1,0,139.90,1,2,37,2h 31m,Ömer Tuygun,24,1,5.0,null,null,null,null,0,0,0,5.0
173,Bigdata con Apache Hadoop,"1,455",2,1,10.2022,Spanish,1,1,69.90,1,5,5,40m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,2.5
174,Machine Learning Moderno,"1,260",2,1,11.2022,Spanish,1,1,69.90,1,5,5,35m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,2.1
175,데이터사이언스 훈련소 - 웹크롤링을 활용한 분석실습,9,2,2,6.2022,Korean,1,0,299.90,0,9,28,7h 21m,Letuin EDU,197,10,4.9,넥스트플래그 nextflag,52,7,4.9,0,0,0,5.0
176,Введение в машинное обучение,22,2,1,6.2021,Russian,1,0,299.90,1,5,24,3h 23m,Центр digital-профессий ITtensive,"2,264",22,4.0,null,null,null,null,1,0,0,2.8
177,Impara R e la Visualizzazione dei Dati tramite Grafici,17,2,1,10.2020,Italian,1,0,69.90,1,8,37,2h 35m,Michael Saccol,672,7,3.7,null,null,null,null,0,0,0,3.0
178,Machine Learning con Python,10,2,1,8.2021,Italian,1,0,399.90,1,17,88,5h 49m,I-tech DS,439,15,3.7,null,null,null,null,0,0,0,3.3
179,Aprenda Python do zero para Engenheiro de Dados,14,2,1,6.2022,Portuguese,1,1,139.90,1,1,24,4h 35m,Vinicius Vale,"1,412",9,4.2,null,null,null,null,0,0,0,5.0
180,Micro Curso OML4SQL - Oracle Machine Learning for SQL,193,2,1,9.2021,Portuguese,1,1,69.90,1,4,15,52m total,Marcelo Reis Bohrer,472,3,4.0,null,null,null,null,0,0,0,3.7
181,IA: Algorithmes de recherche de chemin avec python,11,2,1,5.2022,French,1,0,69.90,1,5,10,1h 11m,Maxime Vandegar,"1,235",25,4.5,null,null,null,null,0,0,0,5.0
182,Convolutional Neural Networks - Hinter den Kulissen,30,2,1,6.2022,German,1,1,123.90,1,3,24,2h 2m,Bernhard Mayr,477,10,4.0,null,null,null,null,0,0,0,4.5
183,ETL Básico com R,131,4,1,7.2022,Portuguese,1,0,69.90,1,5,32,7h 20m,Caio Avelino,"6,437",5,4.7,null,null,null,null,0,0,0,5.0
184,CRIANDO PAINÉIS de BI no OBIEE e na Linguagem R com SHINY,6,2,1,5.2020,Portuguese,1,1,279.90,1,2,71,6h 17m,Juracy Araujo de Almeida Junior,"10,824",54,4.3,null,null,null,null,0,0,0,2.3
185,Python & Deep learning | reconnaissance faciale,38,2,1,7.2021,French,1,1,699.90,1,1,21,4h 24m,steve Tsopte,"2,031",7,4.4,null,null,null,null,0,0,0,5.0
186,"Python ile Makine Öğrenmesi , Algoritmalar ve Yapay Zeka",36,2,1,11.2020,Turkish,1,0,105.90,1,13,163,8h 46m,Aiapii Team,"9,253",2,3.8,null,null,null,null,0,0,0,4.0
187,데이터사이언스 훈련소 - 입소하기,13,2,2,6.2022,Korean,1,0,179.90,0,2,17,2h 9m,Letuin EDU,197,10,4.9,넥스트플래그 nextflag,52,7,4.9,0,0,0,5.0
188,Big Data con Machine Learning,"1,191",2,1,12.2022,Spanish,1,1,69.90,1,5,5,50m total,Luis Guevara Matias,"19,523",427,3.4,null,null,null,null,0,0,0,2.0
189,"Mengenal Firebase untuk Pemrograman, Web Hosting, Database",6,2,1,4.2022,Indonesian,1,0,69.90,1,7,37,2h 58m,Jubilee Enterprise,"15,101",105,4.7,null,null,null,null,1,0,0,5.0
190,Estatística de A a Z com R: R para Análise de Dados e MAIS!,9,2,1,7.2022,Portuguese,1,1,139.90,0,4,50,8h 45m,Angelo Leonardo Pirrone Simões,249,1,3.2,null,null,null,null,1,0,0,3.2
