,name
320,https://www.udemy.com/course/ai2022-trend/
321,https://www.udemy.com/course/estructura-de-datos-y-algoritmos/
322,https://www.udemy.com/course/introducao-a-ciencia-de-dados-com-python/
323,https://www.udemy.com/course/pytorch-u/
324,https://www.udemy.com/course/python-matplotlib-tutorial-in-hindi/
325,https://www.udemy.com/course/maso-ds-python-onc73/
326,https://www.udemy.com/course/ai051234/
327,https://www.udemy.com/course/pydeeplearning/
328,https://www.udemy.com/course/ethereum_hihrd/
329,https://www.udemy.com/course/alphazero/
330,https://www.udemy.com/course/ihwpcrwb/
331,https://www.udemy.com/course/machine-learning_hihrd/
